class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGeTASU8PMtY,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/knnPzKcV2myr', 'label': '(Procaccioli 2017)'}]",Accademia dello Sdegno di Roma,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18119.0,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q140849598,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,identifier,,,,,,,,,,,,,,,,,,https://lyra.unil.ch/agents/340,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,RXbRZ4TCCK8o,485336885952940476030,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra
