class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,identifier,,,,,,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3,Italian Women Writers,,,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,work_location,,,,,,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Uz2mEwhRUFWw,1580.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Elevati di Reggio Emilia,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,occupation,,,,,,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,related_to,,,,,,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16306,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0468,
Agent,Silvia Silvi,,,Silvia Silvi,Silvia Silvi.md,ZrX8QBjivXWc,657275400907420642345,present_in_work,,,,,,,,,,,,,,,,,,,
