class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,identifier,http://www.wikidata.org/entity/Q110136206,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,described_by_source,,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,work_location,,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,member_of,,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,related_to,,,,,,,,,,,,,,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AbDZnrEnp7Un,Ascanio errante,,,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,
Agent,Barbara degli Albizzi Tagliamochi,,['Barbara Tigliamochi degli Albizi'],Barbara degli Albizzi Tagliamochi,Barbara degli Albizzi Tagliamochi.md,NqoZxCbzEnSz,430022940459071112704,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FjzRvC8LdYMs', 'label': 'SHEWROTE'}",20440d1d-dcbf-40eb-843a-b78547bd2499
