class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SZ7i6Mrhdezq,Virgil,,,,,,,,,,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X8WAmHm6XHuD,2.0,Eclogues,,,,,,,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X5mzWGfcQaQ3,eclogue,,,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/foPko6Zoq7GG,hexameter,,,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddw2PSbVUZ6t,shepherd,,,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,O crudelis Alexi nihil mea carmina curas,,,O crudelis Alexi nihil mea carmina curas,O crudelis Alexi nihil mea carmina curas.md,NBwKYS6XwZPM,416314879096036643326,text,,,,,,,,,,,,,,,,,,,,,,,"O crudelis Alexi, nihil mea carmina curas?
Nil nostri miserere? mori me denique coges.
Nunc etiam pecudes umbras et frigora captant,
nunc virides etiam occultant spineta lacertos,
Thestylis et rapido fessis messoribus aestu
allia serpyllumque herbas contundit olentes.
At me cum raucis, tua dum vestigia lustro,
sole sub ardenti resonant arbusta cicadis.

Nonne fuit satius tristes Amaryllidis iras
atque superba pati fastidia? nonne Menalcan
quamvis ille niger, quamvis tu candidus esses?
O formose puer, nimium ne crede colori!
Alba ligustra cadunt, vaccinia nigra leguntur."
