class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,identifier,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,described_by_source,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,work_location,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,member_of,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,occupation,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KkirRe7joUQE,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fJsWsFf9zJgc', 'label': 'Rime della signora Tullia di Aragona et di diversi a lei'}]",Tullia d'Aragona,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,notable_work,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,interested_in,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,ST5JgsNf93EK,504333343950885824057,present_in_work,,,,,,,,,,,,,,,,
