class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,identifier,http://www.wikidata.org/entity/Q106438267,,,,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/efadNg8p9ufB,(Pallini 2020),,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2P97RzuZEUPb,Siena,,,,,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,member_of,,,,,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6RgqN6Ar8wnq,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/efadNg8p9ufB', 'label': '(Pallini 2020)'}]",translator,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,related_to,,,,,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5vVzjuJ8tZqr,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/efadNg8p9ufB', 'label': '(Pallini 2020)'}]",Aeneid,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYPBAQP5GSWP,,classical antiquity,,,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16500.0,
Agent,Bartolomeo Carli Piccolomini,,,Bartolomeo Carli Piccolomini,Bartolomeo Carli Piccolomini.md,jTcFc23KwosU,855340193654008520978,present_in_work,,,,,,,,,,,,,,,,,,,,,
