class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/icjGncFExzV8,Brescia,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,member_of,,,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqAa4C6LiGN8,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",Girolamo Ruscelli,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/maA7SzVynMx7,,Accademia dei Dubbiosi di Venezia,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,notable_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WXzKXe2ka6CJ,Rime di m. Domenico Mantova,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,interested_in,,,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,present_in_work,,,,,,,,,,,,,,,,,,
Agent,Domenico Mantova,Domenico Mantova.md,Domenico Mantova,DeaL288yswcA,240233351473297868420,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q140933179
