class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,identifier,https://lyra.unil.ch/poems/190,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JrrHnpp4fyTC,Giovanni Battista Amalteo,,,,,,,,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,part_of,,,,,,,,,89.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2QTDrdVcrDZM,Libro terzo de le rime di diuersi nobilissimi et eccellentissimi autori nuouamente raccolte,,,,,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VGbtWp2Ek2YY,geocentrism,,,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d6Scakn6F3bd,Sun,,,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,text,,,,,,,,,,,,,,,,,,,,,,"Al dolce vostro canto,
Ch'i fiumi affrena, e queta l'aere, e'l vento,
Vidi pur io fermarsi il ciel intento.

E'l tempo, che fuggia sì lieve, e presto,
Alhor ritenne il Sole;
Ch'immobil feste al suon de le parole.
Però, se quel cantar soave honesto
Udir potess'io ognihora;
Il fior de l'età nostra eterno fora.",,
PoeticWork,Al dolce vostro canto,,,Al dolce vostro canto,Al dolce vostro canto.md,9XD4UG6WvsXp,155020406113570114897,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
