class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,identifier,http://www.wikidata.org/entity/Q55948680,,,,,,,,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,described_by_source,,,,,,,,,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kCJ6Wh9v2ggw,Parma,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,member_of,,,,,,,,,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,related_to,,,,,,,,,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,notable_work,,,,,,,,,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,interested_in,,,,,,,,,,,,,,,,,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9188.0,
Agent,Erasmo Viotti,,,Erasmo Viotti,Erasmo Viotti.md,KJQV4cgAujLi,356745577334130871690,present_in_work,,,,,,,,,,,,,,,,,
