class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,member_of,,,,,,,,,,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gMdbT5JfGDFV,philosopher,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9CY2hG2Wtedw,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YfzLsQJEZKc3', 'label': 'rival'}",Giulio Cesare Brancaccio,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/baADqnLF4t7X,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XDaY2f6i5fwG', 'label': 'teacher'}",Tarquinia Molza,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,notable_work,,,,,,,,,,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,interested_in,,,,,,,,,,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,present_in_work,,,,,,,,,,,,,,,,,
Agent,Francesco Patrizi,Francesco Patrizi.md,Francesco Patrizi,7gdRuXzgz77P,117161730828103285098,identifier,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q435300
