class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F009610000010101_000000020800C,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3KxURtKJVxAF,Pietro Aretino,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nUaTBnnW6oqF', 'label': 'Claudio Veggio'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rg48ktvfYvix,Dialogo della musica di m. Anton Francesco Doni,,,,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus,,,,,,,,,,,,,,
