class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,identifier,http://www.wikidata.org/entity/Q17279972,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,described_by_source,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,member_of,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,related_to,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,notable_work,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,interested_in,,,,,,,,,,,,,,,
Agent,Giovanni Battista Ciotti,,,Giovanni Battista Ciotti,Giovanni Battista Ciotti.md,FLES2CoRQYLJ,274862190789303330535,catalog_identifier,,,,,,,,,,,,,,,
