class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_value,dissolved_sourcing_circumstances,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_pseudonym,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,identifier,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,described_by_source,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,instance_of,,,[[academy]],,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,inception,,,,1563.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,dissolved,,,,,,,1569.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,location,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xcfe7aKfnNfN,Padova,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,official_website,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",25.0,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,member,,,,,,,,,,,,,,,Il Pentito,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Torquato Tasso,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,interested_in,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,hacwuSctDo7p,816607118430974160952,notable_work,,,,,,,,,,,,,,,,,,,,
