class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,inception_reference,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,identifier,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy,(Sampson 2020),,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KQXKh6XbMhTZ,(Torelli Benedetti 2013),,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HXQyc85NviAY,manuscript,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WjkwkY3qDEUr,pastoral drama,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,title,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,inception,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",1586.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KQXKh6XbMhTZ', 'label': '(Torelli Benedetti 2013)'}]",,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,has_version,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c4Zf7mDdY26s,Barbara Torelli Benedetti,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,subject,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,has_part,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,MF2GtjKispkF,396790190446641605104,based_on,,,,,,,,,,,,,,,,
