class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,identifier,http://www.wikidata.org/entity/Q141015024,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,described_by_source,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,work_location,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,member_of,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,occupation,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,related_to,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,notable_work,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,interested_in,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,catalog_identifier,,,,,,,,,,,,,,
Agent,Ortensia Colonna,,['Hortensia Colonna'],Ortensia Colonna,Ortensia Colonna.md,M6n3D9mxj5sQ,393809828819232742018,present_in_work,,,,,,,,,,,,,,
