class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,identifier,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,described_by_source,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,work_location,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,Accademia degli Insensati di Perugia,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,occupation,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,related_to,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,notable_work,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,interested_in,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,catalog_identifier,,,,,,,,,,,,,,,
Agent,Francesco Maria Calidoni,,,Francesco Maria Calidoni,Francesco Maria Calidoni.md,SS22BxV4tioH,503950416850354398522,present_in_work,,,,,,,,,,,,,,,
