class,base_name,filename,label,id,n_id,property,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,has_version_publication_date,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,described_by_source,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,described_by_source,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6T8C3Mhfb3et,(Wilbourne 2009),,,,,,,,,,,,,,,,,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T4QqNLwvD5Lj,comedy,,,,,,,,,,,,,,,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,title,,,,,Amor nello specchio commedia. Di Gio. Battista Andreini fiorentino,,,,,,,,,,,,,,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,inception,,,,,,1622.0,,,,,,,,,,,,,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,has_version,,,,,,,https://catalogue.bnf.fr/ark:/12148/cb300197658,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}",https://gallica.bnf.fr/ark:/12148/bd6t57527070,https://gallica.bnf.fr/iiif/ark:/12148/bd6t57527070/manifest.json,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}",1622.0,,,,,,,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,has_version,,,,,,,http://id.sbn.it/bid/MILE044470,,http://www.urfm.braidense.it/rd/04359_2.pdf,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}]",1622.0,,,,,,,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cS2ZRx7FP2Cu,Giambattista Andreini,,,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,
Book,Amor nello specchio commedia. Di Gio. Battista Andreini,Amor nello specchio commedia. Di Gio. Battista Andreini.md,Amor nello specchio commedia. Di Gio. Battista Andreini,JVjg6Vcnsj9i,340213951252687135768,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
