class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,identifier,http://www.wikidata.org/entity/Q141081193,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV,Italian Academies Database,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP,Italian Women Writers,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,work_location,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2yZYoUz5K9XG,1609.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Affidati di Pavia,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Insensati di Perugia,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aPTpWcuQe7Uj,musician,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,related_to,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0476
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,QEHnALkfAA5F,458434388718847152310,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16293
