class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,identifier,http://www.wikidata.org/entity/Q29300,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,work_location,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jfbacU6KKbXB,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia Veniera,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPwMwUsq27Kf,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88', 'label': '(Artese 1983)'}]",Compagnia dei Pastori Fratteggianti,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,related_to,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,notable_work,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,interested_in,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",20353.0,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,KGUmK3TLsKkL,356048727569515172367,present_in_work,,,,,,,,,,,,,,,,,,
