class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/011470000101_PPPP00245600C,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BVmVM3rL2WcH,Giulio Renaldi,,,,,,,,,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,part_of,,,,,,,,,79.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LWqMey9cVuah,Delle rime di Cesare Rinaldi bolognese parte terza,,,,,,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Scherza nel canto e piace,,,Scherza nel canto e piace,Scherza nel canto e piace.md,Q9ywq9G3uHcN,456879359248713975326,text,,,,,,,,,,,,,,,,,,,,,,,"Scherza nel canto e piace,
Madonna hor poggia hor scende,
Hor con veloce ed hor con lenta voce,
allett' e sface ,
Escon le note care,
Da belle labbia ond' ard' ogn' hor si vago,
Ch'al udir ch'al mirar due sensi appago,
Oh dolce variare,
Pago in due modi hor sono,
Godon gl'occhi ai Rubin, gl'orecchi al suono."
