class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,member_of,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA', 'label': '(Di Maro 2021)'}]",poet,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA', 'label': '(Di Maro 2021)'}]",Orlando furioso,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0395,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,present_in_work,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q140194239,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,FqBWCu5YvZzH,285342569662253128545,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA,(Di Maro 2021)
