class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,work_location,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,member_of,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AiN5RxqDLXgg,Pomponio Torelli,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,notable_work,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,interested_in,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,catalog_identifier,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,present_in_work,,,,,,,,,,,,,,,
Agent,"['Arcangelo Crivello', 'Arcangelo Cribelli']",Arcangelo Crivelli,Arcangelo Crivelli.md,Arcangelo Crivelli,cNJDGKBFFtkk,708964140061766979321,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q55226820
