class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label
Concept,rage,,"['fury', 'furia', 'ira', 'ire']",rage,rage.md,kMXrQDDjiQZ5,873776013193790757159,identifier,http://www.wikidata.org/entity/Q153641,,,
Concept,rage,,"['fury', 'furia', 'ira', 'ire']",rage,rage.md,kMXrQDDjiQZ5,873776013193790757159,described_by_source,,,,
Concept,rage,,"['fury', 'furia', 'ira', 'ire']",rage,rage.md,kMXrQDDjiQZ5,873776013193790757159,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AUsLBHvK4xwg,emotion
