class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,identifier,http://www.wikidata.org/entity/Q236050,,,,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,work_location,,,,,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VLH3Xgfkhtes,1609.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia di San Luca di Roma,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtXDRUo7kviy,painter,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,related_to,,,,,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B23Vk5xdu2BR,bizzarria,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",19366.0,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,aBnmPS8PFfkr,663891394220070823524,present_in_work,,,,,,,,,,,,,,,,,,,,,
