class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,work_location,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,member_of,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,related_to,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,notable_work,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,interested_in,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,catalog_identifier,,,,,,,,,,,,,
Agent,"['Laurens van den Bleeck', 'Lawrence Torrentinus']",Lorenzo Torrentino,Lorenzo Torrentino.md,Lorenzo Torrentino,TgPgRL9rfGmQ,529792424515169044990,identifier,,,,,,,,,,,,,http://www.wikidata.org/entity/Q3837101
