class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KkirRe7joUQE,Tullia d'Aragona,,,,,,,,,,,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PW6j4RFLTyaa,"Canto I, 2",1.0,"Il Meschino, altramente detto il Guerrino, fatto in ottava rima dalla signora Tullia d'Aragona",,,,,,,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/knEhuwD9cHVP,humility,,,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,"De' Filosofi antichi, e de' Poeti",,,"De' Filosofi antichi, e de' Poeti","De' Filosofi antichi, e de' Poeti.md",HowYBHGSRRpM,326169986786756356252,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
