class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,identifier_value,described_by_source_value,described_by_source_label
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,title,,,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",,,,,,,,,,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,inception,,,,,,,,,,,,,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,has_version,,,,,1559.0,https://books.google.be/books?id=muBICS6rR74C,https://edit16.iccu.sbn.it/titolo/CNCE029871,,,,,,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,contributor,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Da95B7dvHP7b,Girolamo Ruscelli,,,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr4quyEJjBSq,language,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B6CY4dXVegaM,poetry,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bnvEv4i9tErt,ars combinatoria,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,based_on,,,,,,,,,,,,,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,catalog_identifier,,,,,,,,,,,,,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,has_part,,,,,,,,,,,,,,,,,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,identifier,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE029871,,
Book,"Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli.md","Del modo di comporre in versi nella lingua italiana, trattato di Girolamo Ruscelli",LgTPceguMjUQ,385364658955909419505,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL,(Procaccioli 2020)
