class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_volume,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,identifier,https://lyra.unil.ch/poems/1093,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/keEYSEu5vtER,Sperone Speroni,,,,,,,,,,,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,part_of,,,,,,,,2.0,7.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZLkECjPHfxmg,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,,,,,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nf6cF32SCt6E,singing,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2tBp5oPS8ekR,dawn,,,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,text,,,,,,,,,,,,,,,,,,,,,,"CHI è costei, che come nuova Aurora,
Ma più chiara del Sol, che la Tauro torni,
In sul finir de' miei ultimi giorni
Lo smarrito cor mio desta, & colora?

Move da le sue rose una dolcie ora
Di vaghi accenti, & di santi atti adorni,
Che, quasi seco Amor spiri, & soggiorni,
Me neve, & gel di bei desiri infiora;

Onde non pur la scorza fredda, & bianca,
Ma prenda qualità a la parte interna,
Di voi cortese Dea, perpetuo tempio:

Gardir per lei questa altra inferma, & stanca
Gratia a me rara, a voi fia gloria eterna,
Rinovellando di Titon l'essempio.",,
PoeticWork,"Chi è costei, che come nuova Aurora",,,"Chi è costei, che come nuova Aurora","Chi è costei, che come nuova Aurora.md",5rpRyMExvrGB,79580137888415165055,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
