class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,identifier,http://id.sbn.it/bid/NAPE013775,,,,,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,title,,,,,,"Madrigali et ode di Gio: Battista Basile il pigro, academico strauagante",,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,inception,,,,,,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,has_version,,,,,,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mGypoq67ei6s,Giambattista Basile,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,subject,,,,,,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,based_on,,,,,,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,catalog_identifier,,,,,,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,has_part,,,,,,,,,,,,,,,,,,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7aZB2XibYztP,basilisk,,
Book,Madrigali et ode di Gio. Battista Basile il pigro,,,Madrigali et ode di Gio. Battista Basile il pigro,Madrigali et ode di Gio. Battista Basile il pigro.md,VnytXqtdv23z,573453723896084586686,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
