class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,gender_value,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,instance_of,,,,,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,gender,,,,,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,work_location,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hke846QYoVbD,Antwerpen,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,member_of,,,,,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,occupation,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,related_to,,,,,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,notable_work,,,,,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,interested_in,,,,,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,catalog_identifier,,,,,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,present_in_work,,,,,,,,,,,,,
Agent,['Petrus Phalesius the Younger'],Pierre Phalèse the Younger,Pierre Phalèse the Younger.md,Pierre Phalèse the Younger,JKRGSeVa7GaK,336476656725421760105,identifier,,,,,,,,,,,,,http://www.wikidata.org/entity/Q21075428
