class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,identifier,http://www.wikidata.org/entity/Q1163476,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,work_location,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,member_of,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QcHkWZUZDi75,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UZuCbSwwuwLY', 'label': 'lover'}",Bradamante,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,notable_work,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,interested_in,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,S5rgXsLyRcxB,496656860293195221024,present_in_work,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso
