class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_pseudonym,member_of_role,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QhXTZwxob5AG,Parma,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ixoXEAX9M2DD,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Perduto,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",Accademia degli Innominati di Parma,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,related_to,,,,,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",9144.0,
Agent,Pomponio Torelli,Pomponio Torelli.md,Pomponio Torelli,AiN5RxqDLXgg,179695942772246644121,present_in_work,,,,,,,,,,,,,,,,,,,
