class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F160220000010101_000000090400C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RWJhybDuQZd4,Laura Peverara,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6FSwyQUqdeCQ,Orsola Bertolai,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,part_of,,,,,,,,,215.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZmhzcSbPoocH,Della Sig. Cavalletta,Rime di diversi celebri poeti dell'età nostra,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WkSZD3Bh98rq,theft,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DGVEXnoNEPuk,laurel,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,Bq9QCnF4vjgK,202785598356874736918,text,,,,,,,,,,,,,,,,,,,,,,,,,"M'è pur stato dal core
Furtivamente il Lauro
Svelto, che già tu vi piantasti Amore.
E tu'l vedi, e consenti,
Che quel, che l'ha rapito
Non debba esser punito?
Ma temo, che paventi
Punir chi l'ha rubato,
Sol perch'ancor tu sei di furto nato."
