class,aliases,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,identifier,http://www.wikidata.org/entity/Q544176,,,,,,,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9kWUQV9GFXbL,(Grafton 1990),,,,,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,work_location,,,,,,,,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,member_of,,,,,,,,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WstMYDCjfkv4,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9kWUQV9GFXbL', 'label': '(Grafton 1990)'}]",forger,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4GV6wBhpBTG5,,historian,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,related_to,,,,,,,,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,notable_work,,,,,,,,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/biySQsPfw6te,Ciceronianism,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Kw3fHBF6Lnp4,classical antiquity,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,['Carlo Sigonius'],Carlo Sigonio,Carlo Sigonio.md,Carlo Sigonio,eSp4TWfcjPcL,751873636068135149586,present_in_work,,,,,,,,,,,,,,,,,,
