class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,identifier,http://www.wikidata.org/entity/Q140999477,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,member_of,,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8nvkh8DHUNQk,charlatan,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VhyHLKrTwA7t', 'label': 'colleague'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZCgMTMXeEhEF', 'label': '(Faricelli 2024)'}]",Anton Francesco Doni,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,notable_work,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KzZKXMxLk5Rp,Stanze transmutate del Ariosto con una canzone bellissima pastorale,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Leonardo detto il Furlano,,['Leonardo ditto il Furlano'],Leonardo detto il Furlano,Leonardo detto il Furlano.md,kCMgyyEYtVB7,870453150320702172632,present_in_work,,,,,,,,,,,,,,,,,,,,
