class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,member_of_role,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,identifier,http://www.wikidata.org/entity/Q2903986,,,,,,,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020),,,,,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL,(Procaccioli 2020),,,,,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QMFSYBz2vKMc,Milano,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DQqcyMMmPTqe,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL', 'label': '(Procaccioli 2020)'}]",Accademia dei Segreti di Napoli,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ja3o7UfjoiHn,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL', 'label': '(Procaccioli 2020)'}]",Accademia Veneziana,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPwMwUsq27Kf,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL', 'label': '(Procaccioli 2020)'}]",Compagnia dei Pastori Fratteggianti,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kfWdSELgwTFq,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL', 'label': '(Procaccioli 2020)'}]",Accademia dei Dubbiosi di Venezia,,,,,,,,,,
Agent,Girolamo Ruscelli,,,Girolamo Ruscelli,Girolamo Ruscelli.md,Da95B7dvHP7b,238624777738421012964,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EWJ5DDPUUKY3,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL', 'label': '(Procaccioli 2020)'}]",Accademia degli Ardenti di Napoli,,,,,,,,,,
