class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,identifier,http://www.wikidata.org/entity/Q296272,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2uSronTLfPLh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia Veniera,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YfzLsQJEZKc3', 'label': 'rival'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GaMRGcMjx2SV', 'label': '(Girotto 2017)'}]",Anton Francesco Doni,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3KxURtKJVxAF,27136389319353146530,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",9231.0
