class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,identifier,http://www.wikidata.org/entity/Q645763,,,,,,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,described_by_source,,,,,,,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,work_location,,,,,,,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,member_of,,,,,,,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,related_to,,,,,,,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,notable_work,,,,,,,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,interested_in,,,,,,,,,,,,,,,
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FjzRvC8LdYMs', 'label': 'SHEWROTE'}",0cf3e0cf-b971-4e91-90bd-ba724ba622d6
Agent,Chiara Matraini,,,Chiara Matraini,Chiara Matraini.md,QCahxhU4Tbt4,457817830398906117110,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0029
