class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,identifier,https://rism.online/sources/990037984,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,identifier,https://edit16.iccu.sbn.it/titolo/CNCE044059,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,described_by_source,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,title,,,,,Primo libro de madrigali a quatro voci di l'Hoste da Regio,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,inception,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,has_version,,,,,,,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_T/T251/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1556.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}",https://edit16.iccu.sbn.it/titolo/CNCE044052,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,has_version,,,,,,,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_T/T250/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1547.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}",https://edit16.iccu.sbn.it/titolo/CNCE044059,Canto part only,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6ZCFKDvvZwNn,Bartolomeo Torresani,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,7PPRiYwEybka,110918222254305154895,subject,,,,,,,,,,,,,,,,,,,,
