class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/046810001010101_000000256900C,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9ENdykkNtf6X,anonymous,,,,,,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cBJV9SeGc3Sw,Giaches de Wert,,,,,,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WeSzmeHVLXTk,Il primo libro de' madrigali a quattro voci di Giaches de Wert,,,,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi mi fura il ben mio (Wert),,,Chi mi fura il ben mio (Wert),Chi mi fura il ben mio (Wert).md,TjfnpVsbnXQd,530980861772192974616,text,,,,,,,,,,,,,,,"CHi mi fura il ben mio
chi me lo toglie hoimè chi me l'asconde
dicalo, il pianto mio doglios'e rio,
che fatto ha nere l'hore mie gioconde

Misero, chi m'ha tolto
il bel leggiadro volto
chi mi conduc'a così strania sorte
che per dar vita altrui bram'io la morte
dunque che far poss'io
Tantalo novo in mezz'alle chiar onde
se non gridar oh Dio
chi mi fura il ben mio
chi me lo toglie hoimè, chi me l'asconde.",,,,,,,,,,
