class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,catalog_identifier_source
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,identifier,http://www.wikidata.org/entity/Q55225153,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,described_by_source,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9g6i2k2ME43Z,Brescia,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkXY4TCDVaEb,Accademia degli Occulti di Brescia,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,related_to,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,notable_work,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,interested_in,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,EYTBaSPGbkAD,258651651464143042877,catalog_identifier,,,,,,,,,,,,,,,,15730.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}"
