class,aliases,base_name,filename,label,id,n_id,property,part_of_value,citation_value,isbn_value
BibliographicResource,['ecoRicercaLinguaPerfetta1996'],(Eco 1993),(Eco 1993).md,(Eco 1993),jxrai4ybnrrd,865930209718255335728,part_of,,,
BibliographicResource,['ecoRicercaLinguaPerfetta1996'],(Eco 1993),(Eco 1993).md,(Eco 1993),jxrai4ybnrrd,865930209718255335728,citation,,"Eco, Umberto. (1993) 1996. La ricerca della lingua perfetta nella cultura europea. 2nd edn. Editori Laterza.",
BibliographicResource,['ecoRicercaLinguaPerfetta1996'],(Eco 1993),(Eco 1993).md,(Eco 1993),jxrai4ybnrrd,865930209718255335728,isbn,,,978-88-420-5028-5
