class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,identifier,http://www.wikidata.org/entity/Q3609902,,,,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB,(Moroncini 2017),,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,member_of,,,,,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq,author,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,related_to,,,,,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,notable_work,,,,,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G7vsGa9x682P,humorous poetry,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,hymbCiKrJk7B,824988740016635850453,catalog_identifier,,,,,,,,,,,,,,,,,
