class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_IIIF_manifest,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,identifier,https://edit16.iccu.sbn.it/titolo/CNCE044023,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV52730010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,identifier,https://musicare.beniculturali.unipd.it/database/editions/006988.html,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,identifier,https://rism.online/sources/993120938,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dmwyPyczveEX,Musicare DB,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,title,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,inception,,,,,,,1591.0,,,,,,,,,,,,,,,
