class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/165380000010101_000000055700C,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QUHAq7K8fEy9,Jacopo Sannazaro,,,,,,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WVZrkshWg3EB,Maddalena Casulana,,,,,,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ty532fD3uiFg,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AFLjqnuuAfek,Monti selve fontane piagg'e sassi,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,text,,,,,,,,,,,,,,,"Cinta di fior'un giorno
A la riva d'un fiume
Sedea la nimpha mia pescand'al'onde
E gli augellett'intorno
E gli arbor'e le fronde
Facean cantando fest'al suo bel lume
E non s'udivan venti
Al suon d'i dolc'accenti
Mentre lieta cantando
S'accordan l'onde seco mormorando.",,,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,language,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bHJG3dg7VrRb,music making,,,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,poetic_type,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ByFdYpwqvPWu,nymph,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EY8rp5qPSPGb,tree,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dvd5PGqiBSVe,songbird,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable
MusicComposition,Monti selve fontane piagg'e sassi (Casulana),,,Monti selve fontane piagg'e sassi (Casulana),Monti selve fontane piagg'e sassi (Casulana).md,DCR3mYQLKzo7,230761512295086861761,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable
