class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_permalink,has_version_publication_date,contributor_value,subject_value,subject_label,has_part_value,based_on_value
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,identifier,http://id.sbn.it/bid/VEAE003733,,,,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CGovjWMZmRig,(Perrucci [1699] 2008),,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,title,,,,,,"Dell'arte rappresentativa premeditata, ed all'improviso parti due. Giovevole non solo a chi si diletta di rappresentare; ma a' predicatori, oratori, accademici, e curiosi del dottor Andrea Perrucci",,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,inception,,,,,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq', 'label': 'Napoli'}]",http://id.sbn.it/bid/VEAE003733,1699.0,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,contributor,,,,,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhsgN9hmFdsq,improvisational theater,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,has_part,,,,,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",busj5N7wko8B,699764193160166581461,based_on,,,,,,,,,,,,,,,
