class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,identifier,http://www.wikidata.org/entity/Q3257803,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,work_location,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGxg3GX8Zcio,Accademia degli Ortolani di Piacenza,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,occupation,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GWw8DELtG846', 'label': 'colleague'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",Anton Francesco Doni,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,notable_work,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,interested_in,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,X6tpZpZf34Lu,600211991261567235498,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16550.0
