class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,identifier,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,described_by_source,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LStkRDBxc8jf,Gustavus Selenus,,,,,,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MwEGezR4nEB7,Philipp Hainhofer,,,,,,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,part_of,,,,,,,,"Madrigale di Filippo Hainhofer, Cittadino d'Augusta.",,,,,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BQRZFgW6wAyq,ingenuity,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q9hnBAQFhpb7,time,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YTAdfrxKFqwZ,Apollo,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYVR3qzVaKdp,secret,,,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Chiuso in angusta parte Augusto parto,,,Chiuso in angusta parte Augusto parto,Chiuso in angusta parte Augusto parto.md,jMUk8vGehRZp,853120360469485692175,text,,,,,,,,,,,,,,,,,,,,,"CHiuso in angusta parte Augusto parto,
Non starai, che lodato
Da l'ingegni più rari
Andrai col Tempo al pari,
Ovunque Febo snoda il crin aurato,
Come nascosto, come
Privo sarà di nome,
Chi tenta altrui scuoprire
quanto può mai celar l'arte nel dire?
Né palesati suoi secreti l'Arte
Scoprirà te secreto in ogni parte."
