class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,identifier,http://www.wikidata.org/entity/Q55835449,,,,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88,(Artese 1983),,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7Gi2GFLvgMfV,(Bolzoni 2004),,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AKdqXvjEKiNE,(Lucioli 2024),,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zo7gdF6vwLoN,(Bolzoni 2012),,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPwMwUsq27Kf,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88', 'label': '(Artese 1983)'}]",Compagnia dei Pastori Fratteggianti,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,occupation,,,,,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GybpRcmnuLeK,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88', 'label': '(Artese 1983)'}]",Domenico Venier,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3YLGgR7kasRh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88', 'label': '(Artese 1983)'}]",Pietro Aretino,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6YzSraKZVaNv,rhetorical figure,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NXXS5qJxyMGp,art of memory,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bnvEv4i9tErt,ars combinatoria,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Orazio Toscanella,,,Orazio Toscanella,Orazio Toscanella.md,b9S7DWcXyg4q,683671944508272366785,present_in_work,,,,,,,,,,,,,,,,,,,,
