class,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/39wgAy5xbCcf,I frutti di Giovan Leonardo Primavera. A cinque voci. Libro quarto,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,based_on,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,derivative_work,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,subject,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,poetic_type,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,metre,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,metre,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,depicts,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,language,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Primavera.",La luce occhi miei lassi,La luce occhi miei lassi.md,La luce occhi miei lassi,LX2mKMX7tgLK,381949990043177199563,text,,,,,,,,,,,,,,,,,,"La luce occhi miei lassi
Che dava luc'a voi 
Fa giorno ad altri
oscura notte a noi
Ond'io sovente canto
Così va ch'in altrui pon fede tanto."
