class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,identifier,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,work_location,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtWD638mS6uB,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Unisoni di Venezia,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,related_to,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wyd2YHjqWKjo,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XBXTcUPpGVNf', 'label': 'child'}",Giulio Strozzi,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,interested_in,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18140.0,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,AcgXJzoKSEkJ,177640952639958571849,present_in_work,,,,,,,,,,,,,,,,,,,,,
