class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fVfx85Ctvkra,(Broccia 2008),,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAY8wr9pyjdc,Gaspara Stampa,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,part_of,,,,,,,,,66.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LNxSnoqrbvDw,Rime di madonna Gaspara Stampa,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLktudVaMszu,anaphora,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6UgHPJzzmPCX,departure,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rkqg3J6afECo,ice,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,UM9xZgZBDFdw,543462569848802324831,text,,,,,,,,,,,,,,,,,,,,,,,,"Oh tante indarno mie fatiche sparse,
Oh tanti indarno miei sparsi sospiri;
Oh vivo foco, o fé, che, se ben miri,
Di tal null'altra mai non alge, & arse.

Oh carte invan vergate, e da vergarse
Per lodar quegli ardenti amati giri;
Oh speranze ministre de' disiri,
A cui premio più degno dovea darse.

Tutte ad un tratto ve ne porta il vento,
Poiché da l'empio mio Signore stesso
Con queste proprie orecchie dir mi sento,

Che tanto pensa a me, quanto m'è presso,
E partendo si parte in un momento
Ogni membranza del mio Amor da esso."
