class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oELeGBw2s9DS,Antonio Alamanni,,,,,,,,,,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/avjbxQsjceBd,1.0,150-151,Trionfo de; Quattro Elementi.,"Tutti i trionfi, carri, mascherate o canti carnascialeschi andati per Firenze dal tempo del Magnifico Lorenzo",,,,,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BpAmPbZKNmd7,classical elements,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UR9WWTiYMbWy,devotion,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,poetic_type,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cmG7qu4tHNZL,Jesus Christ,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FfsDH2wWMAGN,lightning,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8hmsnHCi3PMp,water,,,
PoeticWork,Quel Creator delle cose create,,,Quel Creator delle cose create,Quel Creator delle cose create.md,akKGDuDZgnxH,675663754619944434480,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4jQ3H5yuexkm,flame,,,
