class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,work_location,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,member_of,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,occupation,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,related_to,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,notable_work,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,interested_in,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",20772.0,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,QQU75XRhzWKV,462120232969169293137,present_in_work,,,,,,,,,,,,,
