class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_sourcing_circumstances,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,inception,,,,,1579.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",532.0,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,member,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,TF9VLuUZpbf7,520651436409192873383,motto,,,,,,,,,,,,,,,,,
