class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_reference,dissolved_sourcing_circumstances,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,described_by_source,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,instance_of,,,[[academy]],,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,inception,,,,1540.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,dissolved,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",1545.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xcfe7aKfnNfN,Padova,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",20.0,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,member,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,related_to,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Infiammati di Padova,,,Accademia degli Infiammati di Padova,Accademia degli Infiammati di Padova.md,iDXucpxaKjZv,829608305728440489598,motto,,,,,,,,,,,,,,,,,,
