class,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_role,member_value,member_label,interested_in_value,notable_work_value,described_by_source_value,described_by_source_label
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FdiBEDVUfTuf,academia fictiva,,,,,,,,,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,inception,,,,,,,,,,,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,dissolved,,,,,,,,,,,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,location,,,,,,,,,,,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,official_website,,,,,,,,,,,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,catalog_identifier,,,,,,,,,,,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,member,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,Anton Francesco Doni,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,interested_in,,,,,,,,,,,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,notable_work,,,,,,,,,,,,,,
Organisation,Fictional academy created by Anton Francesco Doni,Accademia dei Pellegrini,Accademia dei Pellegrini.md,Accademia dei Pellegrini,nRjVfw37DWEf,916569854594380074799,described_by_source,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GaMRGcMjx2SV,(Girotto 2017)
