class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,member_of,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,related_to,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,notable_work,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,interested_in,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,catalog_identifier,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,doraLfMsbWnV,738856468548023190423,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q109996866
