class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,identifier_value
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,work_location,,,,,,,,,,,,,,,,,,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aTk9hoymKNbk,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",Accademia delle Virtù,,,,,,,,,,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,related_to,,,,,,,,,,,,,,,,,,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QpFJa6z5UT68,Commento di ser Agresto da Ficaruolo sopra la prima ficata del padre Siceo,,,,,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kNR7wGs7pHDt,humorous poetry,,,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",17497.0,
Agent,Annibale Caro,Annibale Caro.md,Annibale Caro,Ds7Pd3msZjeC,244768697869039344388,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q566851
