class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,member_of,,,,,,,,,,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,related_to,,,,,,,,,,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,notable_work,,,,,,,,,,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,interested_in,,,,,,,,,,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,catalog_identifier,,,,,,,,,,,,,,
Agent,Alessandro Polo,Alessandro Polo.md,Alessandro Polo,dKosPMkJ2XoY,728702380437875877612,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q137001349
