class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fXurj2BzALG4,Vincenzo Panciatichi,,,,,,,,,,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,part_of,,,,,,,,Amore. Del Sig. Cavalliero Vincenzo Panciatichi. Cartello Primo,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YYFRNeCKx9AL,41.0,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,,,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,,,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/86Q2aWNHHazc,duel,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PkJjQdNqm3ok,thousand,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fxEcFxXeUjcY,warrior,,,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Che non è lieve trionfar de l'alme,,,Che non è lieve trionfar de l'alme,Che non è lieve trionfar de l'alme.md,SbKYkp8QBv5M,507320098786235036647,text,,,,,,,,,,,,,,,,,,,,,,,,,"Che non è lieve trionfar de l'alme,
Cui fan rigide voglie, un schermo altero;
I sen pria di valor poscia le salme
V'armai di saldo acciaro Amor severo;
E di mille guerrier vittrici palme
Lieti portaste al mio felice impero;
Felice un tempo, hor giù cader lo veggio,
S'a me da voi non vien, quel ch'a voi chieggio"
