class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GY8Uax26Ma9G,(Broccia 2008),,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,part_of,,,,,,,,,66.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h3THWXv6qB74,Rime di madonna Gaspara Stampa,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8sSx8HhcDxv6,anaphora,,,,,,,,,
PoeticWork,Oh tante indarno mie fatiche sparse,,,Oh tante indarno mie fatiche sparse,Oh tante indarno mie fatiche sparse.md,EC2HTeFPMTwd,251252853583595913320,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HfQkYfWDVNZC,departure,,,,,,,,,
