class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F214880000010101_000000175200C,,,,,,,,,,,,,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,Isabella Andreini,,,,,,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2fUdas8ce63V,Santi Orlandi,,,,,,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h5Ang8vXP3Cc,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,,,,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,instrumentation,,,,,,,,,,,,,,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aqjB3M2r3BpW,Per pietà di me stesso,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,derivative_work,,,,,,,,,,,,,,,
MusicComposition,Per pietà di me stesso (Orlandi),,,Per pietà di me stesso (Orlandi),Per pietà di me stesso (Orlandi).md,3CJH9AgXNanq,24359542018082801531,text,,,,,,,,,,,,,,,
