class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_sourcing_circumstances,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,described_by_source,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,instance_of,,,[[academy]],,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,inception,,,,1579.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,dissolved,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",532.0,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,member,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,notable_work,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,related_to,,,,,,,,,,,,,,,,
Organisation,Accademia dei Rinnovati di Ferrara,,,Accademia dei Rinnovati di Ferrara,Accademia dei Rinnovati di Ferrara.md,ahH5gTADpSKX,674563777869444666623,motto,,,,,,,,,,,,,,,,
